car_reg,purchase_date,county,make,model,type,colour,tax_band,price
XXX-X-2315,2020-07-01,Cork,Audi : A4 (Saloon),,,red,b,55287
191-C-3750,2019-Jan-20,,mazda,CX-30,SUV,#C0C0C0,B,41690
191-l-3155,21 Mar,LIMERICK,BMW : 3 Series,,Saloon,WHITE,2,40381
191-d-2645,26 Jan,DUBLIN,Audi : Q3,,SUV,ORANGE,2,44836
181-W-341,2018-Jan-27,,Opel,Astra,Hatchback,Red,A,32188
201-D-2738,2020-Jan-14,Dublin,ford,fiesta : hatchback,,<colour>Silver</colour>,A,28966
XXX-X-4891,2018-01-06,Waterford,Opel : Astra (Estate),,,white,b,29616
191-L-2101,2019-Jan-03,Limerick,ford,fiesta : hatchback,,<colour>White</colour>,A,26009
181-G-3022,2018-Mar-26,,Opel,Grandland X,SUV,White,B,29899
XXX-X-4163,2019-01-02,Galway,Ford : Mondeo (Saloon),,,silver,b,38185
191-C-1439,2019-Feb-03,,ford,FIESTA,Hatchback,#C0C0C0,A,28406
192-D-834,2019-Jul-17,Dublin,bmw,2 series : coupe,,<colour>White</colour>,B,100362
XXX-X-3063,2019-02-26,Dublin,Mercedes : C-Class (Estate),,,blue,b,48006
XXX-X-2645,2020-02-26,Limerick,Audi : Q3 (SUV),,,silver,b,51448
191-l-1389,02 Feb,LIMERICK,Audi : A6,,Estate,BLUE,3,80844
201-L-1071,2020-Jan-17,Limerick,ford,focus : hatchback,,<colour>Blue</colour>,A,38122
201-L-4412,2020-Jan-26,,Ford,Focus,Hatchback,White,A,44621
192-w-4806,04 Jul,WATERFORD,Ford : Mustang,,Coupe,RED,3,59375
XXX-X-1729,2020-02-12,Waterford,Mazda : Mazda3 (Hatchback),,,white,b,33327
XXX-X-1875,2019-07-20,Dublin,Mercedes : A-Class (Saloon),,,white,b,54900
XXX-X-999,2018-01-25,Dublin,Opel : Crossland X (SUV),,,white,a,24707
XXX-X-4471,2019-07-03,Cork,Opel : Astra (Estate),,,red,b,27648
XXX-X-1427,2020-02-22,Galway,BMW : X3 (SUV),,,red,c,123728
XXX-X-4750,2019-09-27,Dublin,Audi : A4 (Saloon),,,red,b,48578
181-D-4476,2018-Feb-05,Dublin,mazda,mazda3 : hatchback,,<colour>White</colour>,B,30123
192-D-3345,2019-Jul-04,Dublin,opel,grandland x : suv,,<colour>White</colour>,B,41664
182-d-3231,02 Jul,DUBLIN,Mazda : Mazda3,,Hatchback,RED,2,31812
XXX-X-4152,2019-07-10,Dublin,Mercedes : C-Class (Estate),,,white,b,74609
201-L-1660,2020-Mar-17,,Opel,Insignia,Hatchback,Silver,B,35424
XXX-X-2857,2018-01-16,Waterford,Mercedes : A-Class (Saloon),,,blue,b,38966
201-C-28,2020-Jan-16,,BMW,3 Series,Hatchback,White,C,51868
181-d-2890,14 Mar,DUBLIN,Mercedes : C-Class,,Saloon,WHITE,2,114425
192-D-2764,2019-Aug-13,Dublin,ford,mustang : coupe,,<colour>Blue</colour>,C,55238
XXX-X-4433,2018-07-23,Cork,Opel : Corsa (Hatchback),,,silver,a,18848
201-W-2959,2020-Mar-13,,Opel,Insignia,Hatchback,Red,B,32194
191-C-1506,2019-Jan-27,,mercedes,A-CLASS,Saloon,#FF0000,B,40155
192-L-3298,2019-Jul-21,Limerick,ford,focus : hatchback,,<colour>Red</colour>,A,44751
201-G-2958,2020-Jan-08,,mercedes,C-CLASS,Saloon,#FFA500,B,118383
182-c-1345,19 Jul,CORK,Mazda : Mazda6,,Estate,SILVER,2,36527
181-C-2653,2018-Jan-01,,Opel,Corsa,Hatchback,White,A,19359
201-c-2732,24 Feb,CORK,Mercedes : C-Class,,Saloon,BLUE,2,54391
XXX-X-4067,2019-03-01,Cork,Mercedes : C-Class (Saloon),,,red,b,89884
182-D-762,2018-Oct-20,Dublin,audi,a4 : saloon,,<colour>White</colour>,B,49181
201-D-1814,2020-Mar-27,,audi,Q3,SUV,#FFFFFF,B,43778
181-g-1732,27 Feb,GALWAY,Mazda : Mazda6,,Estate,RED,2,42291
181-D-2124,2018-Jan-19,,Toyota,Corolla,Saloon,White,B,28514
181-g-1768,12 Jan,GALWAY,Mazda : Mazda6,,Saloon,RED,2,44572
182-g-4763,02 Aug,GALWAY,Mazda : Mazda3,,Hatchback,RED,2,35356
182-d-2154,20 Jul,DUBLIN,Ford : Mondeo,,Hatchback,WHITE,2,37034
202-D-2843,2020-Sep-27,,BMW,3 Series,Hatchback,Red,C,54926
XXX-X-600,2019-07-14,Galway,Mazda : Mazda3 (Saloon),,,blue,b,37733
201-D-313,2020-Jan-03,,Audi,A4,Estate,White,B,53436
202-w-4790,08 Aug,WATERFORD,Toyota : Yaris,,Hatchback,SILVER,1,18140
182-L-3833,2018-Jul-27,,Mercedes,C-Class,Estate,White,B,66701
201-W-2625,2020-Feb-08,,mazda,MAZDA3,Saloon,#FFFFFF,B,33773
XXX-X-1645,2018-02-21,Dublin,Ford : Focus (Estate),,,white,a,33986
XXX-X-452,2020-03-19,Dublin,Mercedes : C-Class (Saloon),,,red,b,88404
191-D-3376,2019-Feb-11,,Ford,Fiesta,Hatchback,Blue,A,29642
XXX-X-1736,2018-08-01,Waterford,Toyota : Corolla (Saloon),,,blue,b,28610
XXX-X-3669,2020-07-10,Galway,Toyota : Corolla (Hatchback),,,white,b,33300
192-D-1356,2019-Sep-12,,Mercedes,AMG-GT,Hatchback,Silver,D,160696
201-C-2516,2020-Mar-21,,mazda,MAZDA6,Estate,#FFA500,B,40442
191-G-4753,2019-Jan-14,Galway,ford,focus : hatchback,,<colour>White</colour>,A,41916
XXX-X-3315,2019-02-16,Dublin,Opel : Astra (Hatchback),,,red,a,24722
191-W-1656,2019-Jan-18,Waterford,mazda,mazda3 : hatchback,,<colour>Silver</colour>,B,31485
191-L-3375,2019-Feb-20,,mazda,MAZDA3,Saloon,#C0C0C0,B,36260
XXX-X-2859,2019-08-27,Dublin,Mercedes : GLC-Class (SUV),,,silver,c,53897
181-l-3532,14 May,LIMERICK,BMW : 3 Series,,Saloon,WHITE,2,56099
XXX-X-3344,2018-05-10,Dublin,Toyota : Rav4 (SUV),,,white,b,43043
202-D-3374,2020-Jul-07,,Ford,Mondeo,Hatchback,White,B,36185
192-D-4487,2019-Jul-26,,Mazda,Mazda3,Saloon,Blue,B,33004
181-d-3618,13 Jan,DUBLIN,Opel : Crossland X,,SUV,ORANGE,1,25677
201-D-4538,2020-Jan-07,,Audi,Q3,SUV,White,B,47558
182-l-4186,14 Jul,LIMERICK,Ford : Fiesta,,Hatchback,BLUE,1,28352
192-D-2891,2019-Jul-09,Dublin,mazda,mazda6 : saloon,,<colour>White</colour>,B,33049
181-C-4844,2018-Jan-18,,Mazda,Mazda6,Estate,Red,B,40906
201-c-1914,25 Feb,CORK,Mazda : Mazda6,,Saloon,WHITE,2,45176
XXX-X-4132,2019-05-04,Galway,Mazda : Mazda6 (Estate),,,white,b,36947
201-g-2587,10 Jan,GALWAY,Ford : Kuga,,SUV,RED,2,42578
XXX-X-4213,2018-01-02,Cork,Opel : Astra (Hatchback),,,white,a,24284
181-D-2499,2018-May-25,Dublin,audi,q3 : suv,,<colour>Red</colour>,B,45426
192-w-4292,22 Jul,WATERFORD,Audi : Q3,,SUV,WHITE,2,42172
201-W-2163,2020-Feb-11,,Toyota,Corolla,Hatchback,Blue,B,27897
201-D-524,2020-Jun-09,,Mercedes,C-Class,Saloon,Blue,B,57031
202-D-2058,2020-Jul-19,,toyota,COROLLA,Saloon,#FFFFFF,B,29049
XXX-X-1774,2020-01-16,Cork,Audi : A4 (Saloon),,,blue,b,47128
192-d-1720,04 Aug,DUBLIN,Mazda : CX-5,,SUV,WHITE,2,50781
191-C-4974,2019-Mar-12,,toyota,COROLLA,Hatchback,#FFFFFF,B,30133
XXX-X-94,2018-04-02,Dublin,Opel : Insignia (Hatchback),,,red,b,29407
191-C-2120,2019-Feb-05,,Mazda,CX-5,SUV,Silver,B,35960
201-L-223,2020-Jan-16,Limerick,ford,mondeo : hatchback,,<colour>Red</colour>,B,31160
XXX-X-3762,2019-03-14,Cork,Mercedes : A-Class (Hatchback),,,blue,b,45644
182-D-4397,2018-Jul-09,,Audi,A4,Estate,Silver,B,53518
202-C-1286,2020-Jul-03,,opel,CROSSLAND X,SUV,#FFFFFF,A,24516
XXX-X-2251,2020-01-07,Galway,Audi : Q3 (SUV),,,white,b,43744
181-c-2052,21 Jan,CORK,Mercedes : A-Class,,Saloon,RED,2,46056
191-g-4000,22 Jan,GALWAY,Opel : Corsa,,Hatchback,RED,1,21095
181-l-1514,16 Mar,LIMERICK,Toyota : Camery,,Saloon,WHITE,2,42057
181-d-1722,20 Feb,DUBLIN,Ford : Focus,,Hatchback,WHITE,1,41758
182-C-1018,2018-Aug-17,,Ford,Focus,Estate,White,A,39933
202-L-1022,2020-Jul-21,Limerick,opel,crossland x : suv,,<colour>Orange</colour>,A,25375
191-D-2947,2019-Apr-09,Dublin,mercedes,c-class : saloon,,<colour>Blue</colour>,B,81093
182-L-2824,2018-Jul-07,,Mazda,CX-5,SUV,White,B,32025
181-G-1458,2018-Feb-15,,BMW,X3,SUV,Red,C,100996
XXX-X-4788,2020-08-13,Cork,BMW : 3 Series (Hatchback),,,white,c,56621
XXX-X-2453,2019-01-21,Dublin,Ford : Mondeo (Hatchback),,,white,b,38927
181-G-2015,2018-May-10,Galway,opel,corsa : hatchback,,<colour>Blue</colour>,A,24575
XXX-X-4326,2020-07-21,Galway,Opel : Corsa (Hatchback),,,red,a,21313
201-l-3175,16 Jan,LIMERICK,Mazda : CX-30,,SUV,RED,2,38212
XXX-X-4064,2020-01-16,Dublin,Toyota : Yaris (Hatchback),,,blue,a,16524
XXX-X-1555,2018-01-19,Limerick,Toyota : Corolla (Saloon),,,orange,b,30645
182-C-226,2018-Jul-26,,Toyota,Yaris,Hatchback,Blue,A,17016
181-D-2430,2018-Jan-26,,Opel,Crossland X,SUV,White,A,26352
XXX-X-2031,2019-01-07,Limerick,Ford : Fiesta (Hatchback),,,silver,a,27564
201-l-1534,25 Feb,LIMERICK,Ford : Mondeo,,Hatchback,WHITE,2,37247
XXX-X-2374,2019-04-08,Limerick,Audi : Q3 (SUV),,,blue,b,51113
191-L-4918,2019-Jan-13,,toyota,PRIUS,Hatchback,#FFA500,B,34884
XXX-X-3852,2018-07-04,Dublin,Opel : Crossland X (SUV),,,silver,a,24759
192-d-2264,18 Jul,DUBLIN,Opel : Crossland X,,SUV,WHITE,1,23303
201-C-2045,2020-May-25,,toyota,COROLLA,Saloon,#FFA500,B,31124
201-C-399,2020-Jan-04,Cork,mazda,cx-30 : suv,,<colour>White</colour>,B,34513
191-c-4655,13 Feb,CORK,Mercedes : C-Class,,Saloon,WHITE,2,95499
191-D-986,2019-Mar-16,Dublin,mazda,mazda3 : saloon,,<colour>White</colour>,B,31145
182-d-4945,22 Aug,DUBLIN,Opel : Corsa,,Hatchback,RED,1,18392
181-G-2417,2018-May-08,,Mazda,Mazda6,Saloon,Blue,B,36728
191-l-1451,05 Feb,LIMERICK,Mazda : Mazda6,,Estate,WHITE,2,43677
181-d-367,12 Feb,DUBLIN,Mercedes : C-Class,,Saloon,BLUE,2,87569
202-L-1073,2020-Jul-08,,Mazda,Mazda6,Estate,Orange,B,36229
202-L-4909,2020-Jul-02,Limerick,opel,astra : hatchback,,<colour>White</colour>,A,29953
181-D-4691,2018-Jan-16,Dublin,toyota,corolla : hatchback,,<colour>Orange</colour>,B,31409
181-c-3718,13 Jan,CORK,Mercedes : C-Class,,Estate,WHITE,2,123329
191-G-2064,2019-Mar-06,,Mercedes,GLC-Class,SUV,Red,C,115793
XXX-X-4983,2020-01-18,Cork,Ford : Mondeo (Saloon),,,white,b,37932
XXX-X-1074,2020-03-24,Cork,Audi : A4 (Estate),,,white,b,40991
201-d-2425,05 Mar,DUBLIN,BMW : 3 Series,,Hatchback,WHITE,3,62863
XXX-X-3069,2018-02-06,Galway,Opel : Grandland X (SUV),,,red,b,44803
XXX-X-3265,2019-09-03,Cork,Opel : Corsa (Hatchback),,,white,a,21353
201-D-2530,2020-Feb-25,,Toyota,Yaris,Hatchback,Blue,A,16972
201-D-487,2020-Mar-06,,Toyota,Prius,Hatchback,White,B,34205
191-d-1409,13 Jan,DUBLIN,Opel : Astra,,Estate,RED,2,27851
182-c-3004,24 Jul,CORK,Mazda : Mazda6,,Saloon,WHITE,2,33851
191-C-702,2019-Mar-11,Cork,opel,corsa : hatchback,,<colour>Red</colour>,A,17369
181-d-3359,21 Jan,DUBLIN,Opel : Grandland X,,SUV,SILVER,2,40922
192-D-4488,2019-Jul-05,,Mercedes,A-Class,Saloon,White,B,56340
XXX-X-4219,2020-05-21,Dublin,Opel : Corsa (Hatchback),,,red,a,18987
201-D-1970,2020-Jan-11,Dublin,toyota,yaris : hatchback,,<colour>White</colour>,A,19542
202-L-1691,2020-Sep-02,,bmw,7 SERIES,Saloon,#0000FF,D,221342
XXX-X-2649,2020-07-10,Galway,Opel : Grandland X (SUV),,,blue,b,36778
192-G-762,2019-Aug-17,,toyota,PRIUS,Hatchback,#FF0000,B,34429
201-D-4582,2020-Mar-14,Dublin,opel,corsa : hatchback,,<colour>Blue</colour>,A,18705
XXX-X-2589,2019-07-26,Cork,Toyota : Corolla (Hatchback),,,silver,b,33404
201-D-2013,2020-Feb-27,,Ford,Mustang,Coupe,White,C,56612
201-D-3755,2020-Feb-22,,Opel,Corsa,Hatchback,Blue,A,20549
192-c-3961,15 Jul,CORK,Toyota : Prius,,Hatchback,WHITE,2,34810
XXX-X-2331,2020-01-16,Dublin,Mazda : CX-5 (SUV),,,white,b,32451
201-D-4943,2020-Apr-08,,ford,FOCUS,Hatchback,#FFFFFF,A,23454
XXX-X-3323,2019-01-19,Galway,Audi : Q3 (SUV),,,white,b,52851
191-c-2277,18 Jan,CORK,Ford : Focus,,Hatchback,BLUE,1,26698
202-d-4897,14 Jul,DUBLIN,Opel : Corsa,,Hatchback,BLUE,1,24295
202-D-1020,2020-Jul-26,,Opel,Astra,Estate,Silver,B,26008
202-C-4167,2020-Jul-02,,Ford,Mondeo,Hatchback,White,B,34706
191-D-607,2019-Jan-10,Dublin,ford,mustang : coupe,,<colour>White</colour>,C,48231
XXX-X-4617,2019-03-01,Dublin,Ford : Focus (Estate),,,white,a,40187
181-L-3085,2018-May-24,,Toyota,Camery,Saloon,White,B,39427
191-C-2765,2019-Feb-17,,Mercedes,A-Class,Hatchback,Red,B,38029
191-L-4610,2019-Jan-21,Limerick,mercedes,c-class : saloon,,<colour>Red</colour>,B,44076
XXX-X-3645,2018-01-20,Limerick,Mercedes : GLC-Class (SUV),,,blue,c,57325
202-D-2550,2020-Jul-02,,bmw,3 SERIES,Hatchback,#C0C0C0,C,47098
201-g-4620,23 Apr,GALWAY,Ford : Kuga,,SUV,ORANGE,2,34226
XXX-X-710,2019-02-15,Dublin,Opel : Corsa (Hatchback),,,silver,a,18505
181-D-3884,2018-Jan-02,,Audi,A4,Estate,Blue,B,47220
XXX-X-4052,2019-07-04,Dublin,Toyota : Corolla (Hatchback),,,white,b,30937
191-G-2238,2019-Feb-13,,Mercedes,A-Class,Hatchback,Blue,B,52676
181-C-3092,2018-May-09,,ford,FOCUS,Estate,#FF0000,A,29707
191-C-316,2019-Feb-01,,Mercedes,C-Class,Estate,Red,B,47521
202-L-2121,2020-Jul-14,,audi,Q3,SUV,#FFFFFF,B,53059
202-C-3849,2020-Oct-04,Cork,bmw,3 series : estate,,<colour>Blue</colour>,B,65693
182-D-2814,2018-Aug-13,Dublin,toyota,corolla : hatchback,,<colour>Red</colour>,B,32980
XXX-X-386,2019-01-03,Dublin,Mazda : Mazda3 (Hatchback),,,white,b,33259
192-c-811,17 Jul,CORK,Mazda : CX-5,,SUV,SILVER,2,33611
182-l-2256,05 Nov,LIMERICK,Opel : Crossland X,,SUV,WHITE,1,27934
202-C-2003,2020-Jul-01,,BMW,2 series,Coupe,White,B,84611
192-W-52,2019-Oct-27,Waterford,opel,crossland x : suv,,<colour>White</colour>,A,24983
201-D-2096,2020-Jan-22,,mercedes,A-CLASS,Saloon,#0000FF,B,63232
XXX-X-3085,2020-07-18,Dublin,Mercedes : C-Class (Saloon),,,red,b,78511
201-D-3211,2020-Apr-04,,Mercedes,A-Class,Hatchback,Blue,B,60303
182-g-3962,07 Jul,GALWAY,Toyota : Corolla,,Hatchback,RED,2,31451
201-D-2076,2020-Jan-01,,Mercedes,GLC-Class,SUV,White,C,124515
191-L-2930,2019-Mar-19,,Audi,A6,Estate,White,C,85726
202-W-4231,2020-Jul-13,Waterford,audi,q7 : suv,,<colour>Blue</colour>,D,89169
XXX-X-1844,2020-01-22,Limerick,Audi : Q7 (SUV),,,white,d,113259
202-C-1623,2020-Jul-20,,opel,INSIGNIA,Hatchback,#0000FF,B,28443
191-c-3817,02 Jan,CORK,Toyota : Corolla,,Hatchback,BLUE,2,32297
201-D-4981,2020-Mar-13,Dublin,ford,fiesta : hatchback,,<colour>Red</colour>,A,22256
XXX-X-501,2018-01-23,Dublin,BMW : 2 series (Coupe),,,white,b,106613
191-c-2127,20 Mar,CORK,Audi : A4,,Saloon,WHITE,2,51795
202-G-4230,2020-Jul-07,Galway,opel,astra : hatchback,,<colour>White</colour>,A,24719
201-G-1225,2020-Apr-26,,mercedes,A-CLASS,Hatchback,#FF0000,B,38470
191-D-1138,2019-Jan-20,,Ford,Mondeo,Hatchback,Red,B,34050
XXX-X-3518,2020-07-01,Dublin,BMW : X3 (SUV),,,blue,c,118403
XXX-X-2740,2020-03-18,Dublin,Mercedes : GLC-Class (SUV),,,white,c,69227
191-L-56,2019-Mar-06,,toyota,COROLLA,Saloon,#FFFFFF,B,28914
201-G-2112,2020-Jan-25,,audi,A4,Estate,#FFFFFF,B,44660
182-G-3589,2018-Jul-21,,Toyota,Corolla,Saloon,Red,B,30569
